Part,Value,Quantity,Device,Package,Fitted,MANUFACTURER_PART_NUMBER
"C1, C2",1.0uF,2,1.0UF-0603-10V-10%,603,Fitted,0603YD105KAT2A
J1,,1,CONN_02,1X02,Not Fitted,
J2,,1,CONN_07,1X07,Not Fitted,
R1,953k,1,RESISTOR0603,603,Fitted,RMCF0603FT953K
R2,464k,1,RESISTOR0603,603,Fitted,RC0603FR-07464KL
R3,768k,1,RESISTOR0603,603,Fitted,RC0603FR-07768KL
U1,MIC841,1,MIC841,SC70-5,Fitted,MIC841HYC5-TR
U2,TPS7A02,1,TPS7A02,SOT23-5,Fitted,TPS7A0220PDBVR
