Time [s],Channel,Value
0.002038164000000,1,43295488
0.002048404000000,2,43295488
0.002058644000000,1,44027136
0.002068884000000,2,44027136
0.002079124000000,1,44758528
0.002089364000000,2,44758528
0.002099604000000,1,45490176
0.002109844000000,2,45490176
0.002120084000000,1,46221568
0.002130324000000,2,46221568
0.002140564000000,1,46953216
0.002150804000000,2,46953216
0.002161044000000,1,47684608
0.002171284000000,2,47684608
0.002181524000000,1,48416256
0.002191764000000,2,48416256
0.002202004000000,1,49147904
0.002212244000000,2,49147904
0.002222484000000,1,49879296
0.002232724000000,2,49879296
0.002242964000000,1,50610944
0.002253204000000,2,50610944
0.002263444000000,1,51342336
0.002273684000000,2,51342336
0.002283924000000,1,52073984
0.002294164000000,2,52073984
0.002304404000000,1,52805632
0.002314644000000,2,52805632
0.002324884000000,1,53537024
0.002335124000000,2,53537024
0.002345364000000,1,54268672
0.002355604000000,2,54268672
0.002365844000000,1,55000064
0.002376084000000,2,55000064
0.002386324000000,1,55731712
0.002396564000000,2,55731712
0.002406804000000,1,56463360
0.002417044000000,2,56463360
0.002427284000000,1,57194752
0.002437524000000,2,57194752
0.002447764000000,1,57926400
0.002458004000000,2,57926400
0.002468244000000,1,58657792
0.002478484000000,2,58657792
0.002488724000000,1,59389440
0.002498964000000,2,59389440
0.002509204000000,1,60121088
0.002519444000000,2,60121088
0.002529684000000,1,60852480
0.002539924000000,2,60852480
0.002550164000000,1,61584128
0.002560404000000,2,61584128
0.002570644000000,1,62315520
0.002580884000000,2,62315520
0.002591124000000,1,63047168
0.002601364000000,2,63047168
0.002611604000000,1,63778560
0.002621844000000,2,63778560
0.002632084000000,1,64510208
0.002642324000000,2,64510208
0.002652564000000,1,65241856
0.002662804000000,2,65241856
0.002673044000000,1,65973248
0.002683288000000,2,65973248
0.002693528000000,1,66704896
0.002703768000000,2,66704896
0.002714008000000,1,67436288
0.002724248000000,2,67436288
0.002734488000000,1,68167936
0.002744728000000,2,68167936
0.002754968000000,1,68899584
0.002765208000000,2,68899584
0.002775448000000,1,69630976
0.002785688000000,2,69630976
0.002795928000000,1,70362624
0.002806168000000,2,70362624
0.002816408000000,1,71094016
0.002826648000000,2,71094016
0.002836888000000,1,71825664
0.002847128000000,2,71825664
0.002857368000000,1,72557312
0.002867608000000,2,72557312
0.002877848000000,1,73288704
0.002888088000000,2,73288704
0.002898328000000,1,74020352
0.002908568000000,2,74020352
0.002918808000000,1,74751744
0.002929048000000,2,74751744
0.002939288000000,1,75483392
0.002949528000000,2,75483392
0.002959768000000,1,76214784
0.002970008000000,2,76214784
0.002980248000000,1,76946432
0.002990488000000,2,76946432
0.003000728000000,1,77678080
0.003010968000000,2,77678080
0.003021208000000,1,78409472
0.003031448000000,2,78409472
0.003041688000000,1,79141120
0.003051928000000,2,79141120
0.003062168000000,1,79872512
0.003072408000000,2,79872512
0.003082648000000,1,80604160
0.003092888000000,2,80604160
0.003103128000000,1,81335808
0.003113368000000,2,81335808
0.003123608000000,1,82067200
0.003133848000000,2,82067200
0.003144088000000,1,82798848
0.003154328000000,2,82798848
0.003164568000000,1,83530240
0.003174808000000,2,83530240
0.003185048000000,1,84261888
0.003195288000000,2,84261888
0.003205528000000,1,84993536
0.003215768000000,2,84993536
0.003226008000000,1,85724928
0.003236248000000,2,85724928
0.003246488000000,1,86456576
0.003256728000000,2,86456576
0.003266968000000,1,87187968
0.003277208000000,2,87187968
0.003287448000000,1,87919616
0.003297688000000,2,87919616
0.003307928000000,1,88651264
0.003318168000000,2,88651264
0.003328408000000,1,89382656
0.003338648000000,2,89382656
0.003348888000000,1,90114304
0.003359128000000,2,90114304
0.003369368000000,1,90845696
0.003379608000000,2,90845696
0.003389848000000,1,91577344
0.003400088000000,2,91577344
0.003410328000000,1,92308736
0.003420568000000,2,92308736
0.003430808000000,1,93040384
0.003441048000000,2,93040384
0.003451288000000,1,93772032
0.003461528000000,2,93772032
0.003471768000000,1,94503424
0.003482008000000,2,94503424
0.003492248000000,1,95235072
0.003502488000000,2,95235072
0.003512728000000,1,95966464
0.003522968000000,2,95966464
0.003533208000000,1,96698112
0.003543448000000,2,96698112
0.003553688000000,1,97429760
0.003563928000000,2,97429760
0.003574168000000,1,98161152
0.003584408000000,2,98161152
0.003594648000000,1,98892800
0.003604888000000,2,98892800
0.003615128000000,1,99624192
0.003625368000000,2,99624192
0.003635608000000,1,100355840
0.003645848000000,2,100355840
0.003656088000000,1,101087488
0.003666328000000,2,101087488
0.003676568000000,1,101818880
0.003686808000000,2,101818880
0.003697048000000,1,102550528
0.003707288000000,2,102550528
0.003717528000000,1,103281920
0.003727768000000,2,103281920
0.003738008000000,1,104013568
0.003748248000000,2,104013568
0.003758488000000,1,104744960
0.003768728000000,2,104744960
0.003778968000000,1,105476608
0.003789208000000,2,105476608
0.003799448000000,1,106208256
0.003809688000000,2,106208256
0.003819928000000,1,106939648
0.003830168000000,2,106939648
0.003840408000000,1,107671296
0.003850648000000,2,107671296
0.003860888000000,1,108402688
0.003871128000000,2,108402688
0.003881368000000,1,109134336
0.003891608000000,2,109134336
0.003901848000000,1,109865984
0.003912088000000,2,109865984
0.003922328000000,1,110597376
0.003932568000000,2,110597376
