"Part";"Value";"Device";"Package";"Description";"BUILT_BY";"COPYRIGHT";"MANUFACTURER_PART_NUMBER";"MFR";"MFR_PN";"POPULARITY";"PROD_ID";"SF_ID";"SOURCELIBRARY";"SPICEPREFIX";"VALUE";"VENDOR";
"JP6_5";"JST-SH-4";"JST-SH-4";"JST-SH-4";"JST-SH 4 pin connector";"";"";"";"JST";"SM04B-SRSS-TB(LF)(SN)";"";"";"";"";"";"";"";
"L1_4";"22u";"LQH3NPN220MMEL";"LQH3NPNXXXXMEX";"";"";"";"";"MURATA";"LQH3NPN220MJRL";"";"";"";"";"";"";"";
"L1_5";"22u";"LQH3NPN220MMEL";"LQH3NPNXXXXMEX";"";"";"";"";"MURATA";"LQH3NPN220MJRL";"";"";"";"";"";"";"";
"R1_1";"1M 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"YAGEO";"RC0402FR-071ML";"34";"";"";"";"R";"";"";
"R1_2";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"YAGEO";"RC0805FR-076K2L";"";"";"";"";"";"";"";
"R1_3";"953k";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"PANASONIC";"ERJ-3EKF9533V";"";" ";"";"";"";" ";"";
"R1_4";"130k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"PANASONIC";"ERJ-3GEYJ134V";"77";"";"";"";"R";"";"";
"R1_5";"240k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"PANASONIC";"ERJ-3GEYJ244V";"77";"";"";"";"R";"";"";
"R2_1";"150k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"YAGEO";"RC0402FR-07150KL";"34";"";"";"";"R";"";"";
"R2_2";"100k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"YAGEO";"RC0805FR-07100KL";"";"";"";"";"";"";"";
"R2_3";"464k";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"PANASONIC";"ERJ-3EKF4643V";"";" ";"";"";"";" ";"";
"R2_4";"200k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"PANASONIC";"ERJ-3GEYJ204V";"77";"";"";"";"R";"";"";
"R3_1";"3.3 1%";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"PANASONIC";"ERJ-3BQF3R3V";"77";"";"";"";"R";"";"";
"R3_2";"102k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"YAGEO";"RC0805FR-07102KL";"";"";"";"";"";"";"";
"R3_3";"768k";"RESISTOR0603";"0603";"Generic Resistor Package";"";"";"";"PANASONIC";"ERJ-3EKF7683V";"";" ";"";"";"";" ";"";
"R3_4";"360k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"PANASONIC";"ERJ-3GEYJ364V";"77";"";"";"";"R";"";"";
"R3_5";"360k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"PANASONIC";"ERJ-3GEYJ364V";"77";"";"";"";"R";"";"";
"R4_1";"150k 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"YAGEO";"RC0402FR-07150KL";"34";"";"";"";"R";"";"";
"R4_2";"100k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"YAGEO";"RC0805FR-07100KL";"";"";"";"";"";"";"";
"R4_4";"240k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"PANASONIC";"ERJ-3GEYJ244V";"77";"";"";"";"R";"";"";
"R4_5";"240k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"PANASONIC";"ERJ-3GEYJ244V";"77";"";"";"";"R";"";"";
"R5_1";"10k";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"YAGEO";"RC0402FR-0710KL";"34";"";"";"";"R";"";"";
"R5_2";"6.2k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"YAGEO";"RC0805FR-076K2L";"";"";"";"";"";"";"";
"R5_4";"330";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"YAGEO";"RC0603FR-07330RL";"77";"";"";"";"R";"";"";
"R6_1";"150K 1%";"R-US_R0402";"R0402";"RESISTOR, American symbol";"";"";"";"YAGEO";"RC0402FR-07150KL";"34";"";"";"";"R";"";"";
"R6_4";"100";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"YAGEO";"RC0603JR-07100RL";"77";"";"";"";"R";"";"";
"U1_1";"CDBHD140L-G";"CDBHD140L-G";"CDBHDXX0L-G";"";"";"";"";"COMCHIP";"CDBHD140L-G";"";"";"";"";"";"";"";
"U1_2";"V_REG_MIC5235";"V_REG_MIC5235";"SOT23-5";"";"";"";"";"";"576-1284-1-ND ";"";"";"";"";"";"";"";
"U1_3";"MIC841";"MIC841HYC5-TR";"SC-70_C5_MCH";"";"EMA_Jessica";"Copyright (C) 2018 Accelerated Designs. All rights reserved";"MIC841NYC5-TR";"";"MIC841NYC5-TR";"";"";"";"Microchip_2019-08-23_3";"";"";"Microchip";
"U1_4";"TPS62120";"TPS62120";"SOP65P280X145-8N";"";"";"";"";"TI";"TPS62120";"";"";"";"";"";"";"";
"U1_5";"TPS62120";"TPS62120";"SOP65P280X145-8N";"";"";"";"";"TI";"TPS62120";"";"";"";"";"";"";"";
"U2_1";"CDBHD140L-G";"CDBHD140L-G";"CDBHDXX0L-G";"";"";"";"";"COMCHIP";"CDBHD140L-G";"";"";"";"";"";"";"";
"U2_3";"TPS7A02";"TPS7A02";"SOT23-5";"TPS7A0220PDBVR";"";"";"";"TI";"TPS7A0220PDBVR";"";"";"";"";"";"";"";
"U2_4";"TP2104K1-G";"TP2104K1-G";"TP2104K1-G";"P-Channel Enhancement-Mode Vertical DMOS FET";"";"";"";"MICROCHIP";"TP2104K1-G";"";"";"";"";"";"";"";
"U3_1";"MAX9938";"MAX9938";"SOT23-5";"1μA, 4-Bump UCSP/SOT23, Precision Current-Sense Amplifier";"";"";"";"MAXIM";"MAX9938TEUK+T";"";"";"";"";"";"";"";
"U3_4";"TN2106K1-G";"TN2106K1-G";"TN2106K1-G";"N-Channel Enhancement-Mode Vertical DMOS FET";"";"";"";"MICROCHIP";"TN2106K1-G";"";"";"";"";"";"";"";
"U4_1";"TN2106K1-G";"TN2106K1-G";"TN2106K1-G";"N-Channel Enhancement-Mode Vertical DMOS FET";"";"";"";"MICROCHIP";"TN2106K1-G";"";"";"";"";"";"";"";
"U7_4";"MIC5225";"MIC5225";"MIC5225";"";"";"";"";"MICROCHIP";"MIC5225YM5";"";"";"";"";"";"";"";
